START DATE,END DATE,SUBJECT,START TIME (PT),START TIME (MT),START TIME (CT),START TIME (ET),END TIME (PT),END TIME (MT),END TIME (CT),END TIME (ET),SHOW TIME AS,DESCRIPTION,,,,AWAY,HOM E
10/7/2012,10/7/2012,NBA: Heat @ Hawks     ,11:00 AM,12:00 PM,1:00 PM,2:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,FREE,www.MySportsCal.com,Heat @ Hawks,Miami at Atlanta,,Heat , Hawks
2/3/2013,2/3/2013,NBA: Heat @ Raptors     ,11:00 AM,12:00 PM,1:00 PM,2:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,FREE,www.MySportsCal.com,Heat @ Raptors,Miami at Toronto,,Heat , Raptors
1/21/2013,1/21/2013,NBA: Rockets @ Bobcats     ,11:00 AM,12:00 PM,1:00 PM,2:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,FREE,www.MySportsCal.com,Rockets @ Bobcats,Houston at Charlotte,,Rockets , Bobcats
10/14/2012,10/14/2012,NBA: Spurs @ Rockets     ,11:00 AM,12:00 PM,1:00 PM,2:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,FREE,www.MySportsCal.com,Spurs @ Rockets,San Antonio at Houston,,Spurs , Rockets
1/21/2013,1/21/2013,NBA: Timberwolves @ Hawks     ,11:00 AM,12:00 PM,1:00 PM,2:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,FREE,www.MySportsCal.com,Timberwolves @ Hawks,Minnesota at Atlanta,,Timberwolves , Hawks
10/7/2012,10/7/2012,NBA: Magic @ Hornets     [NBATV],11:30 AM,12:30 PM,1:30 PM,2:30 PM,1:30 PM,2:30 PM,3:30 PM,4:30 PM,FREE,www.MySportsCal.com,Magic @ Hornets,Orlando at New Orleans,[NBATV],Magic , Hornets
12/25/2012,12/25/2012,NBA: Knicks @ Lakers     [ABC],12:00 PM,1:00 PM,2:00 PM,3:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,FREE,www.MySportsCal.com,Knicks @ Lakers,New York at LA Lakers,[ABC],Knicks , Lakers
10/9/2012,10/9/2012,NBA: Mavericks @ FC Barcelona     [NBATV],12:00 PM,1:00 PM,2:00 PM,3:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,FREE,www.MySportsCal.com,Mavericks @ FC Barcelona,Dallas at FC Barcelona,[NBATV],Mavericks , FC Barcelona
12/23/2012,12/23/2012,NBA: 76ers @ Nets     ,12:00 PM,1:00 PM,2:00 PM,3:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,FREE,www.MySportsCal.com,76ers @ Nets,Philadelphia at Brooklyn,,76ers , Nets
12/31/2012,12/31/2012,NBA: Bobcats @ Bulls     ,12:00 PM,1:00 PM,2:00 PM,3:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,FREE,www.MySportsCal.com,Bobcats @ Bulls,Charlotte at Chicago,,Bobcats , Bulls
12/31/2012,12/31/2012,NBA: Grizzlies @ Pacers     ,12:00 PM,1:00 PM,2:00 PM,3:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,FREE,www.MySportsCal.com,Grizzlies @ Pacers,Memphis at Indiana,,Grizzlies , Pacers
3/24/2013,3/24/2013,NBA: Hawks @ Bucks     ,12:00 PM,1:00 PM,2:00 PM,3:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,FREE,www.MySportsCal.com,Hawks @ Bucks,Atlanta at Milwaukee,,Hawks , Bucks
11/11/2012,11/11/2012,NBA: Magic @ Nets     ,12:00 PM,1:00 PM,2:00 PM,3:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,FREE,www.MySportsCal.com,Magic @ Nets,Orlando at Brooklyn,,Magic , Nets
11/25/2012,11/25/2012,NBA: Trail Blazers @ Nets     ,12:00 PM,1:00 PM,2:00 PM,3:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,FREE,www.MySportsCal.com,Trail Blazers @ Nets,Portland at Brooklyn,,Trail Blazers , Nets
3/10/2013,3/10/2013,NBA: Bulls @ Lakers     [ABC],12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Bulls @ Lakers,Chicago at LA Lakers,[ABC],Bulls , Lakers
4/7/2013,4/7/2013,NBA: Lakers @ Clippers     [ABC],12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Lakers @ Clippers,LA Lakers at LA Clippers,[ABC],Lakers , Clippers
2/10/2013,2/10/2013,NBA: Lakers @ Heat     [ABC],12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Lakers @ Heat,LA Lakers at Miami,[ABC],Lakers , Heat
3/17/2013,3/17/2013,NBA: Knicks @ Clippers     [ABC],12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Knicks @ Clippers,New York at LA Clippers,[ABC],Knicks , Clippers
3/3/2013,3/3/2013,NBA: Thunder @ Clippers     [ABC],12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Thunder @ Clippers,Oklahoma City at LA Clippers,[ABC],Thunder , Clippers
1/27/2013,1/27/2013,NBA: Thunder @ Lakers     [ABC],12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Thunder @ Lakers,Oklahoma City at LA Lakers,[ABC],Thunder , Lakers
1/21/2013,1/21/2013,NBA: Nets @ Knicks     [NBATV],12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Nets @ Knicks,Brooklyn at New York,[NBATV],Nets , Knicks
4/14/2013,4/14/2013,NBA: Nets @ Raptors     ,12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Nets @ Raptors,Brooklyn at Toronto,,Nets , Raptors
11/17/2012,11/17/2012,NBA: Bulls @ Clippers     ,12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Bulls @ Clippers,Chicago at LA Clippers,,Bulls , Clippers
4/14/2013,4/14/2013,NBA: Cavaliers @ 76ers     ,12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Cavaliers @ 76ers,Cleveland at Philadelphia,,Cavaliers , 76ers
2/24/2013,2/24/2013,NBA: Grizzlies @ Nets     ,12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Grizzlies @ Nets,Memphis at Brooklyn,,Grizzlies , Nets
11/11/2012,11/11/2012,NBA: Hawks @ Clippers     ,12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Hawks @ Clippers,Atlanta at LA Clippers,,Hawks , Clippers
1/12/2013,1/12/2013,NBA: Magic @ Clippers     ,12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Magic @ Clippers,Orlando at LA Clippers,,Magic , Clippers
4/14/2013,4/14/2013,NBA: Pacers @ Knicks     ,12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Pacers @ Knicks,Indiana at New York,,Pacers , Knicks
12/9/2012,12/9/2012,NBA: Raptors @ Clippers     ,12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Raptors @ Clippers,Toronto at LA Clippers,,Raptors , Clippers
12/8/2012,12/8/2012,NBA: Suns @ Clippers     ,12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Suns @ Clippers,Phoenix at LA Clippers,,Suns , Clippers
2/24/2013,2/24/2013,NBA: Warriors @ Timberwolves     ,12:30 PM,1:30 PM,2:30 PM,3:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,FREE,www.MySportsCal.com,Warriors @ Timberwolves,Golden State at Minnesota,,Warriors , Timberwolves
1/21/2013,1/21/2013,NBA: Clippers @ Warriors     ,1:00 PM,2:00 PM,3:00 PM,4:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,FREE,www.MySportsCal.com,Clippers @ Warriors,LA Clippers at Golden State,,Clippers , Warriors
12/31/2012,12/31/2012,NBA: Heat @ Magic     ,2:00 PM,3:00 PM,4:00 PM,5:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,FREE,www.MySportsCal.com,Heat @ Magic,Miami at Orlando,,Heat , Magic
12/23/2012,12/23/2012,NBA: Timberwolves @ Knicks     ,2:00 PM,3:00 PM,4:00 PM,5:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,FREE,www.MySportsCal.com,Timberwolves @ Knicks,Minnesota at New York,,Timberwolves , Knicks
4/14/2013,4/14/2013,NBA: Trail Blazers @ Nuggets     ,2:00 PM,3:00 PM,4:00 PM,5:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,FREE,www.MySportsCal.com,Trail Blazers @ Nuggets,Portland at Denver,,Trail Blazers , Nuggets
12/25/2012,12/25/2012,NBA: Thunder @ Heat     [ABC],2:30 PM,3:30 PM,4:30 PM,5:30 PM,4:30 PM,5:30 PM,6:30 PM,7:30 PM,FREE,www.MySportsCal.com,Thunder @ Heat,Oklahoma City at Miami,[ABC],Thunder , Heat
11/18/2012,11/18/2012,NBA: Cavaliers @ 76ers     [NBATV],3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Cavaliers @ 76ers,Cleveland at Philadelphia,[NBATV],Cavaliers , 76ers
